_event_id,_day_of_week,_start_time,_end_time,_weeks,_break_mins,_spanName,_event_catName,_tag1,_tag2,_capacity_req,_deptName,_global_event,_protected,_suspended,_grouping_id,_registers_req,_lock,_resType,_resName,_resWeeks,_layoutName,_scheduling_status,_quantity
,,,,,,,,,,,,,,,,,,Module,MENG 1011,,,,
29976,Fri,09:00,11:00,21-33,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,GEOG 1232,,,,
,,,,,,,,,,,,,,,,,,Room,FFA Agriculture Computer Laboratory,,,,
29978,Tue,12:00,14:00,21-33,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,GEOG 1232,,,,
,,,,,,,,,,,,,,,,,,Room,FFA Agriculture Computer Laboratory,,,,
28330,Fri,09:00,10:00,6-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,HIST 1804,,,,
,,,,,,,,,,,,,,,,,,Module,HIST 2805,,,,
,,,,,,,,,,,,,,,,,,Room,FHE  Archaeology Centre,,,,
28331,Fri,10:00,11:00,6-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,HIST 1804,,,,
,,,,,,,,,,,,,,,,,,Module,HIST 2805,,,,
,,,,,,,,,,,,,,,,,,Room,FHE  Archaeology Centre,,,,
28332,Fri,11:00,12:00,6-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,HIST 1804,,,,
,,,,,,,,,,,,,,,,,,Module,HIST 2805,,,,
,,,,,,,,,,,,,,,,,,Room,FHE  Archaeology Centre,,,,
28333,Fri,12:00,13:00,6-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,HIST 1804,,,,
,,,,,,,,,,,,,,,,,,Module,HIST 2805,,,,
,,,,,,,,,,,,,,,,,,Room,FHE  Archaeology Centre,,,,
28334,Fri,13:00,14:00,6-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,HIST 1804,,,,
,,,,,,,,,,,,,,,,,,Module,HIST 2805,,,,
,,,,,,,,,,,,,,,,,,Room,FHE  Archaeology Centre,,,,
28335,Fri,14:00,15:00,6-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,HIST 1804,,,,
,,,,,,,,,,,,,,,,,,Module,HIST 2805,,,,
,,,,,,,,,,,,,,,,,,Room,FHE  Archaeology Centre,,,,
28336,Fri,15:00,16:00,6-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,HIST 1804,,,,
,,,,,,,,,,,,,,,,,,Module,HIST 2805,,,,
,,,,,,,,,,,,,,,,,,Room,FHE  Archaeology Centre,,,,
28337,Fri,16:00,17:00,6-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,HIST 1804,,,,
,,,,,,,,,,,,,,,,,,Module,HIST 2805,,,,
,,,,,,,,,,,,,,,,,,Room,FHE  Archaeology Centre,,,,
28339,Mon,12:00,13:00,6-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,HIST 1804,,,,
,,,,,,,,,,,,,,,,,,Module,HIST 2805,,,,
,,,,,,,,,,,,,,,,,,Room,FHE  Archaeology Centre,,,,
28340,Mon,14:00,15:00,6-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,HIST 1804,,,,
,,,,,,,,,,,,,,,,,,Module,HIST 2805,,,,
,,,,,,,,,,,,,,,,,,Room,FHE  Archaeology Centre,,,,
28341,Tue,11:00,12:00,6-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,HIST 1804,,,,
,,,,,,,,,,,,,,,,,,Module,HIST 2805,,,,
,,,,,,,,,,,,,,,,,,Room,FHE  Archaeology Centre,,,,
28342,Wed,11:00,12:00,6-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,HIST 1804,,,,
,,,,,,,,,,,,,,,,,,Module,HIST 2805,,,,
,,,,,,,,,,,,,,,,,,Room,FHE  Archaeology Centre,,,,
28343,Wed,14:00,15:00,6-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,HIST 1804,,,,
,,,,,,,,,,,,,,,,,,Module,HIST 2805,,,,
,,,,,,,,,,,,,,,,,,Room,FHE  Archaeology Centre,,,,
28580,Wed,14:00,16:00,21-33,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,INFO 1601,,,,
,,,,,,,,,,,,,,,,,,Room,FST CSL2,,,,
28553,Mon,13:00,15:00,21-33,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,COMP 2500,,,,
,,,,,,,,,,,,,,,,,,Room,FST CSL2,,,,
33755,Thu,16:00,18:00,3-12,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,BIOL 2163,,,,
,,,,,,,,,,,,,,,,,,Room,FST CSL2,,,,
33622,Wed,11:00,13:00,8-13,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,MATH 1115,,,,
,,,,,,,,,,,,,,,,,,Room,FST CSL1,,,,
33652,Wed,16:00,18:00,3-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,BMET 1004,,,,
33681,Fri,16:00,18:00,3-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,COMP 1601,,,,
,,,,,,,,,,,,,,,,,,Room,FST CSL1,,,,
33696,Tue,14:00,18:00,"3,5,7,9,11,13",0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,ESST 1001,,,,
,,,,,,,,,,,,,,,,,,Room,FST LS1,,,,
,,,,,,,,,,,,,,,,,,Room,FST LS2,,,,
33799,Fri,13:00,16:00,2-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,MENG 2004,,,,
,,,,,,,,,,,,,,,,,,Module,MENG 2007,,,,
,,,,,,,,,,,,,,,,,,Module,MENG 2009,,,,
,,,,,,,,,,,,,,,,,,Module,MENG 2010,,,,
,,,,,,,,,,,,,,,,,,Staff,"BRIDGE,Jaqueline",,,,
33845,Wed,13:00,16:00,2-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CVNG 3014,,,,
,,,,,,,,,,,,,,,,,,Module,CVNG 3020,,,,
33204,Fri,16:00,18:00,2-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,OPTM 1011,,,,
33529,Wed,12:00,14:00,2-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,COCR 1026,,,,
,,,,,,,,,,,,,,,,,,Room,LRC West Lab,,,,
33530,Thu,11:00,13:00,2-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,COCR 1026,,,,
,,,,,,,,,,,,,,,,,,Room,LRC West Lab,,,,
33612,Mon,15:00,17:00,"7,9,11,13",0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CHEM 3870,,,,
,,,,,,,,,,,,,,,,,,Room,TCB 31,,,,
30731,Wed,10:00,12:00,21-33,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,AGSL 2001,,,,
,,,,,,,,,,,,,,,,,,Room,FFA Soil Chemistry Lab,,,,
29981,Fri,12:00,14:00,21-33,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,GEOG 1132,,,,
,,,,,,,,,,,,,,,,,,Room,FFA Soils Physics Lab,,,,
29983,Tue,14:00,16:00,21-33,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,GEOG 1132,,,,
,,,,,,,,,,,,,,,,,,Room,FFA Soils Physics Lab,,,,
31096,Fri,10:00,11:00,23-32,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,AGBU 2003,,,,
,,,,,,,,,,,,,,,,,,Room,FFA W,,Lecture Room,,
31241,Fri,08:00,10:00,21-33,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,COMP 1601,,,,
,,,,,,,,,,,,,,,,,,Room,FST CSL2,,,,
31316,Sat,12:00,14:00,28-31,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,MATH 1115,,,,
,,,,,,,,,,,,,,,,,,Room,FST CSL1,,,,
31508,Wed,08:00,15:30,24-33,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Room,ENG Geol Rm,,,,
13786,Fri,09:00,10:00,23-32,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,AGRI 1003,,,,
,,,,,,,,,,,,,,,,,,Room,FFA E,,Seminar Room,,
13596,Wed,16:00,18:00,26-33,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,HUEC 1004,,,,
,,,,,,,,,,,,,,,,,,Group,FSA 2010 Sem 2,,,,
,,,,,,,,,,,,,,,,,,Room,FFA D 2 (Food Laboratory),,,,
,,,,,,,,,,,,,,,,,,Student,B.Sc. HUMAN NUTRITION AND DIETETICS yr. 1,,,,
,,,,,,,,,,,,,,,,,,Student,MAJOR IN FOODS & FOOD SERVICE MANAGEMENT yr. 1,,,,
11615,Fri,14:00,16:00,22-33,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,AGSL 3001,,,,
,,,,,,,,,,,,,,,,,,Room,FFA Soil Chemistry Lab,,,,
11559,Wed,10:00,11:00,21-33,,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,COMP 1011,,,,
,,,,,,,,,,,,,,,,,,Group,FSA 2010 Sem 2,,,,
,,,,,,,,,,,,,,,,,,Room,FST CSL2,,,,
11564,Tue,09:00,12:00,"21,23,25,27,29,31,33",0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,OPTM 2031,,,,
,,,,,,,,,,,,,,,,,,Room,Optometry Clinic,,,,
11626,Fri,13:00,17:00,21-33,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CHEM 0200,,,,
,,,,,,,,,,,,,,,,,,Room,FST CLB,,,,
11628,Thu,10:00,12:00,21-33,,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,HUEC 1001,,,,
,,,,,,,,,,,,,,,,,,Group,FSA 2010 Sem 2,,,,
,,,,,,,,,,,,,,,,,,Room,FFA FPL,,,,
11634,Fri,13:00,17:00,"22,24,26,28",0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,BIOL 3462,,,,
,,,,,,,,,,,,,,,,,,Room,FST 212,,,,
11646,Thu,08:00,12:00,"22,24,26,28,30,32",0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,PHYS 0200,,,,
,,,,,,,,,,,,,,,,,,Group,FSA 2010 Sem 2,,,,
,,,,,,,,,,,,,,,,,,Room,FST PL1,,,,
11476,Wed,13:00,16:00,"25,27",0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,OPTM 2022,,,,
11479,Tue,15:00,18:00,"24,26,28,30",0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,OPTM 2061,,,,
,,,,,,,,,,,,,,,,,,Group,FSA 2010 Sem 2,,,,
,,,,,,,,,,,,,,,,,,Room,Optometry Clinic,,,,
11485,Tue,15:30,18:30,"23,25,27,29,31,33",0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,OPTM 2082,,,,
,,,,,,,,,,,,,,,,,,Group,FSA 2010 Sem 2,,,,
,,,,,,,,,,,,,,,,,,Room,Optometry Clinic,,,,
11487,Mon,14:00,17:00,"22,24,26,28,30",0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,OPTM 2102,,,,
,,,,,,,,,,,,,,,,,,Room,Optometry Clinic,,,,
11491,Thu,09:00,12:00,21-33,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,OPTM 2011,,,,
,,,,,,,,,,,,,,,,,,Group,FSA 2010 Sem 2,,,,
,,,,,,,,,,,,,,,,,,Room,Optometry Clinic,,,,
11493,Fri,09:00,12:00,"21,23,25,27,29,31,33",0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,OPTM 2031,,,,
,,,,,,,,,,,,,,,,,,Room,Optometry Clinic,,,,
12263,Mon,13:00,15:00,21-33,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,COCR 1026,,,,
,,,,,,,,,,,,,,,,,,Room,LRC East Lab,,,,
12292,Fri,14:00,15:00,21-33,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Group,FSA 2010 Sem 2,,,,
,,,,,,,,,,,,,,,,,,Room,FST CSL2,,,,
11729,Wed,11:00,12:00,21-33,,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,COMP 1011,,,,
,,,,,,,,,,,,,,,,,,Group,FSA 2010 Sem 2,,,,
,,,,,,,,,,,,,,,,,,Room,FST CSL2,,,,
11731,Fri,14:00,15:00,23-32,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,HUEC 1005,,,,
,,,,,,,,,,,,,,,,,,Group,FSA 2010 Sem 2,,,,
,,,,,,,,,,,,,,,,,,Room,FFA X,,Seminar Room,,
11761,Mon,13:00,16:00,21-33,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CHNG 2010,,,,
10480,Tue,15:00,18:00,"23,25,27,29,31,33",0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,BIOL 1362,,,,
,,,,,,,,,,,,,,,,,,Group,FSA 2010 Sem 2,,,,
,,,,,,,,,,,,,,,,,,Room,FFA D,,,,
10483,Thu,10:00,11:00,21-33,,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,COMP 1011,,,,
,,,,,,,,,,,,,,,,,,Group,FSA 2010 Sem 2,,,,
,,,,,,,,,,,,,,,,,,Room,FST CSL2,,,,
10487,Tue,09:00,12:00,21-32,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CHNG 1006,,,,
10554,Thu,10:00,13:00,"23-30,32-33",0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,AGRI 1016,,,,
,,,,,,,,,,,,,,,,,,Group,FSA 2010 Sem 2,,,,
,,,,,,,,,,,,,,,,,,Room,FFA D,,,,
10403,Thu,12:00,13:00,23-32,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,AGBU 2003,,,,
,,,,,,,,,,,,,,,,,,Group,FSA 2010 Sem 2,,,,
,,,,,,,,,,,,,,,,,,Room,FFA X,,,,
10408,Tue,12:00,14:00,21-33,,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,AGRI 2001,,,,
,,,,,,,,,,,,,,,,,,Group,FSA 2010 Sem 2,,,,
,,,,,,,,,,,,,,,,,,Room,FFA FPL,,,,
10448,Mon,11:00,13:00,21-33,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,COCR 1025,,,,
,,,,,,,,,,,,,,,,,,Room,LRC East Lab,,,,
10358,Fri,13:00,17:00,23-24,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,OPTM 1042,,,,
10336,Mon,13:00,17:00,21-33,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,OPTM 1062,,,,
10722,Tue,17:00,20:00,21-33,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,VART 2026,,,,
,,,,,,,,,,,,,,,,,,Staff,"CADETTE,K",,,,
,,,,,,,,,,,,,,,,,,Room,FHE DCFA G   Visual Arts Print Studio & Textile room,,,,
10674,Tue,11:00,13:00,21-33,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,VART 1406,,,,
,,,,,,,,,,,,,,,,,,Group,FSA 2010 Sem 2,,,,
,,,,,,,,,,,,,,,,,,Room,FFA X,,,,
10860,Thu,14:00,18:00,21-33,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,BIOL 0200,,,,
,,,,,,,,,,,,,,,,,,Room,FST LS1,,,,
,,,,,,,,,,,,,,,,,,Room,FST LS2,,,,
10831,Thu,16:00,18:00,26-33,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,HUEC 1004,,,,
,,,,,,,,,,,,,,,,,,Group,FSA 2010 Sem 2,,,,
,,,,,,,,,,,,,,,,,,Room,FFA D 2 (Food Laboratory),,,,
10737,Tue,08:00,12:00,21-33,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,BIOL 0200,,,,
,,,,,,,,,,,,,,,,,,Room,FST LS1,,,,
,,,,,,,,,,,,,,,,,,Room,FST LS2,,,,
11358,Fri,13:00,18:00,21-33,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CHEM 3670,,,,
,,,,,,,,,,,,,,,,,,Module,CHEM 3671,,,,
,,,,,,,,,,,,,,,,,,Room,FST CAL,,,,
,,,,,,,,,,,,,,,,,,Room,FST CL2,,,,
,,,,,,,,,,,,,,,,,,Room,FST CL3,,,,
,,,,,,,,,,,,,,,,,,Room,FST CL4,,,,
,,,,,,,,,,,,,,,,,,Room,FST CL5,,,,
11354,Thu,08:00,12:00,21-33,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CHNG 2010,,,,
11182,Wed,08:00,10:00,21-33,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,GEOG 2016,,,,
,,,,,,,,,,,,,,,,,,Room,FFA Soils Physics Lab,,,,
11241,Fri,14:00,17:00,"23,25,27,29,31,33",0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,BIOL 1362,,,,
,,,,,,,,,,,,,,,,,,Room,FFA D,,,,
11242,Mon,15:00,17:00,21-33,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,AGSL 2001,,,,
,,,,,,,,,,,,,,,,,,Room,FFA C,,,,
,,,,,,,,,,,,,,,,,,Room,FFA Soil Chemistry Lab,,,,
11270,Fri,17:00,18:00,23-32,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,AGRI 1003,,,,
,,,,,,,,,,,,,,,,,,Room,FFA Soils Physics Lab,,,,
11313,Fri,13:00,16:00,21-32,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CHNG 1007,,,,
10907,Sat,08:00,12:00,21-33,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CHEM 0200,,,,
,,,,,,,,,,,,,,,,,,Room,FST CLB,,,,
10909,Sat,08:00,12:00,"22,24,26,28,30,32",0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,PHYS 0200,,,,
,,,,,,,,,,,,,,,,,,Room,FST PL1,,,,
10912,Thu,13:00,17:00,"22,24,26,28,30,32",0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,PHYS 0200,,,,
,,,,,,,,,,,,,,,,,,Room,FST PL1,,,,
10863,Tue,10:00,14:00,21-33,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,GEOG 3116,,,,
,,,,,,,,,,,,,,,,,,Room,FFA Soils Physics Lab,,,,
10897,Thu,10:00,11:00,23-32,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,AGRI 1003,,,,
,,,,,,,,,,,,,,,,,,Group,FSA 2010 Sem 2,,,,
,,,,,,,,,,,,,,,,,,Room,FFA B1,,,,
11127,Tue,13:00,17:00,"22,24,26,28,30,32",0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,BIOC 2169,,,,
,,,,,,,,,,,,,,,,,,Group,FSA 2010 Sem 2,,,,
,,,,,,,,,,,,,,,,,,Room,FST 214,,,,
11054,Thu,11:00,12:00,21-33,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,COMP 1011,,,,
,,,,,,,,,,,,,,,,,,Group,FSA 2010 Sem 2,,,,
,,,,,,,,,,,,,,,,,,Room,FST CSL2,,,,
11033,Fri,08:00,09:00,23-32,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,AGRI 1003,,,,
,,,,,,,,,,,,,,,,,,Group,FSA 2010 Sem 2,,,,
,,,,,,,,,,,,,,,,,,Room,FFA W,,Lecture Room,,
16449,Fri,09:00,12:00,"3,5,7,9,11,13",0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,OPTM 3011,,,,
,,,,,,,,,,,,,,,,,,Room,Optometry Clinic,,,,
16450,Tue,09:00,12:00,"3,5,7,9,11,13",0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,OPTM 3011,,,,
,,,,,,,,,,,,,,,,,,Room,Optometry Clinic,,,,
16459,Fri,09:00,12:00,"4,6,8,10,12,14",0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,OPTM 3051,,,,
,,,,,,,,,,,,,,,,,,Room,Optometry Clinic,,,,
16463,Tue,12:00,15:00,"4,6,8,10,12,14",0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,OPTM 3061,,,,
,,,,,,,,,,,,,,,,,,Room,Optometry Clinic,,,,
16272,Wed,16:00,18:00,2-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,HORT 3001,,,,
,,,,,,,,,,,,,,,,,,Room,FFA TR,,,,
16238,Fri,10:00,13:00,"2,4,6,8,10,12,14",0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,BIOL 3771,,,,
,,,,,,,,,,,,,,,,,,Room,FST LS1,,,,
,,,,,,,,,,,,,,,,,,Room,FST LS2,,,,
16356,Wed,14:00,16:00,2-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,COCR 1028,,,,
,,,,,,,,,,,,,,,,,,Room,LRC East Lab,,,,
16358,Thu,09:00,11:00,2-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,COCR 1029,,,,
,,,,,,,,,,,,,,,,,,Room,LRC West Lab,,,,
16359,Mon,15:00,17:00,2-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,COCR 1029,,,,
,,,,,,,,,,,,,,,,,,Room,LRC East Lab,,,,
16360,Tue,15:00,17:00,2-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,COCR 1029,,,,
,,,,,,,,,,,,,,,,,,Room,LRC East Lab,,,,
16596,Mon,09:00,12:00,2-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,MENG 2007,,,,
,,,,,,,,,,,,,,,,,,Module,MENG 2009,,,,
,,,,,,,,,,,,,,,,,,Module,MENG 2010,,,,
16231,Tue,13:00,18:00,"3,7,9,11,13",0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,BIOL 3770,,,,
,,,,,,,,,,,,,,,,,,Room,FST LS3,,,,
18051,Thu,11:00,13:00,2-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,COCR 1027,,,,
,,,,,,,,,,,,,,,,,,Room,LRC East Lab,,,,
18054,Wed,09:00,11:00,2-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,COCR 1025,,,,
,,,,,,,,,,,,,,,,,,Room,LRC East Lab,,,,
17886,Mon,08:00,12:00,2-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CHNG 2009,,,,
17887,Wed,08:00,12:00,2-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CHNG 2009,,,,
17888,Thu,09:00,12:00,2-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CHNG 2009,,,,
17734,Tue,15:00,18:00,2-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FOST 6005,,,,
17851,Thu,09:00,10:00,2-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,PGSC 1002,,,,
,,,,,,,,,,,,,,,,,,Room,ENG PG Lecture Room,,,,
17852,Wed,09:00,10:00,2-7,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,PGSC 1000,,,,
,,,,,,,,,,,,,,,,,,Room,ENG PG Lab,,,,
17869,Tue,09:00,12:00,2-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CHNG 1001,,,,
,,,,,,,,,,,,,,,,,,Module,CHNG 1003,,,,
17876,Mon,11:00,12:00,2-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,PGSC 2011,,,,
,,,,,,,,,,,,,,,,,,Room,ENG PG Lab,,,,
17877,Wed,10:00,11:00,2-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,PGSC 2011,,,,
,,,,,,,,,,,,,,,,,,Room,ENG PG Lab,,,,
17879,Tue,13:00,16:00,2-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,PGSC 2011,,,,
,,,,,,,,,,,,,,,,,,Room,ENG PG Lab,,,,
17986,Mon,13:00,15:00,3-13,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,AGSL 2101,,,,
,,,,,,,,,,,,,,,,,,Room,FFA Soil Chemistry Lab,,,,
17368,Sat,10:00,12:00,9-12,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,MATH 1115,,,,
,,,,,,,,,,,,,,,,,,Room,FST CSL2,,,,
17369,Sat,12:00,14:00,9-12,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,MATH 1115,,,,
,,,,,,,,,,,,,,,,,,Room,FST CSL2,,,,
16915,Tue,12:00,14:00,2-8,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,STAT 3000,,,,
,,,,,,,,,,,,,,,,,,Room,TCB 23,,,,
16897,Mon,08:00,12:00,2-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,OPTM 3021,,,,
,,,,,,,,,,,,,,,,,,Module,OPTM 3031,,,,
,,,,,,,,,,,,,,,,,,Room,Optometry Clinic,,,,
17322,Mon,12:00,14:00,2-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,INFO 2420,,,,
,,,,,,,,,,,,,,,,,,Room,FST CSL1,,,,
16540,Wed,13:00,16:00,2-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CHNG 1003,,,,
16275,Mon,09:00,11:00,2-14,0,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,LDSP 3002,,,,
,,,,,,,,,,,,,,,,,,Room,FFA 26,,,,
51,Wed,08:00,11:00,2-14,,,Lab,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CAPE PHYS,,,,
