_event_id,_day_of_week,_start_time,_end_time,_weeks,_break_mins,_spanName,_event_catName,_tag1,_tag2,_capacity_req,_deptName,_global_event,_protected,_suspended,_grouping_id,_registers_req,_lock,_resType,_resName,_resWeeks,_layoutName,_scheduling_status,_quantity
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  3,,,,
59682,Sat,10:00,11:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FREN 1002,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  3,,,,
59683,Sat,11:00,12:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FREN 1002,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  3,,,,
59684,Sat,12:00,13:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FREN 1002,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLLS,,,,
59685,Sat,09:00,10:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FREN 1003,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  6,,,,
59686,Sat,10:00,11:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FREN 1003,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLLN,,,,
59688,Sat,11:00,12:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FREN 1003,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room 10,,,,
59689,Sat,12:00,13:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FREN 1003,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room 10,,,,
59690,Mon,17:00,18:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FREN 1003,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  6,,,,
59691,Mon,18:00,19:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FREN 1003,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  6,,,,
59693,Wed,17:00,18:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FREN 1003,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  4,,,,
59696,Wed,18:00,19:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FREN 1003,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  2  (LLE),,,,
59697,Sat,09:00,10:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FREN 1004,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLLN,,,,
59698,Sat,10:00,11:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FREN 1004,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  5,,,,
59699,Sat,11:00,12:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FREN 1004,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  5,,,,
59700,Sat,12:00,13:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FREN 1004,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  5,,,,
59701,Sat,09:00,10:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FREN 1006,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  8,,,,
59702,Sat,10:00,11:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,FREN 1006,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  8,,,,
